facil,SiteCode  ,Storer         ,Sku                 ,Description                                                 ,<= 15 Days,>15 and <=30 Days   ,>30 and <=45 Days   ,>45 and <=60 Days   ,>60 and <=90 Days   ,>90 and <=120 Days  ,>120 and <=150 Days ,>150 and <=180 Days ,>180 and <=210 Days ,>210 Days 
DLNSW,DMI       ,DELL           ,BAE-E7240-01        ,Latitude E7240                                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,C0N0F               ,KIT FUSER LJ HV C37XX                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,18        
DLAKL,DMI       ,DELL           ,C1C2H               ,CSN MSE CBA NANO M-300RSB                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,10        
DLAKL,DMI       ,DELL           ,C1V1K               ,CASE CRYG MES 17WSLIP ANW SNP                               ,0         ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,C1V1K               ,CASE CRYG MES 17WSLIP ANW SNP                               ,80        ,24                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,C233R               ,CTRG TONR 14K U/R 3330DN                                    ,0         ,1                   ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,C233R               ,CTRG TONR 14K U/R 3330DN                                    ,0         ,8                   ,2                   ,0                   ,6                   ,3                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,C2KTH               ,KIT PTR LJ DRUM-KIT E310/E51X                               ,0         ,0                   ,107                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,C332H               ,ASSY BASE NBK INSP 1318 C31                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,C4MT6               ,DIS FPL 22 P2212H ANZ                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,30        
DLNSW,DMI       ,DELL           ,C4MT6_WS            ,DIS FPL 22 P2212H ANZ                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,DMI       ,DELL           ,C53KT               ,U2212HM                                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLAKL,DMI       ,DELL           ,C5CDG               ,CASE CRYG NYL 15.6 TOP NBK                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,30        
DLAKL,DMI       ,DELL           ,C5GC3               ,CTRG TONR 1.4K CYAN C1XXX                                   ,0         ,0                   ,15                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,C5GC3               ,CTRG TONR 1.4K CYAN C1XXX                                   ,306       ,0                   ,0                   ,0                   ,0                   ,214                 ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,C5GC3               ,CTRG TONR 1.4K CYAN C1XXX                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,C600P               ,ASSY BASE NBK BTS C32 1210                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,DMI       ,DELL           ,C638N               ,KYBD 104 US KB212B W8 LTON                                  ,0         ,485                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7         
DLNSW,VMI       ,M1100          ,C6J59               ,CTRG DRUM KCMY C7765DN                                      ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,16        
DLAKL,DMI       ,DELL           ,C6M0T               ,BASE PTR LS ANZ HV C1760NW                                  ,3         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,C6M0T               ,BASE PTR LS ANZ HV C1760NW                                  ,0         ,12                  ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,C730C               ,KIT SPKR 12V AX510  ROW                                     ,0         ,0                   ,182                 ,11                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,C787G               ,CASE CRYG 8  YATES E-FOL                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,5                   ,0         
DLNSW,VMI       ,M1024          ,C787G               ,CASE CRYG 8  YATES E-FOL                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,721                 ,0                   ,0         
DLNSW,DMI       ,DELL           ,C7D6F               ,CTRG TONR 10K HY BLK B2375                                  ,100       ,0                   ,0                   ,0                   ,0                   ,18                  ,16                  ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,C815K               ,CUS CTRG DRUM IU 100K U/R B546X                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,DMI       ,DELL           ,C815K               ,CUS CTRG DRUM IU 100K U/R B546X                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,DMI       ,DELL           ,C8M9W               ,ASSY CBL DNGL MICRO-USBTOUSB                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,17        
DLAKL,DMI       ,DELL           ,C8PNF               ,KIT DS SPRII E-SRS 240 AUS                                  ,0         ,0                   ,0                   ,0                   ,0                   ,20                  ,5                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,C8PNF               ,KIT DS SPRII E-SRS 240 AUS                                  ,0         ,0                   ,0                   ,135                 ,31                  ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,C920K               ,CTRG DRUM CNSMB 1230C/1235CN                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,DMI       ,DELL           ,C920K               ,CTRG DRUM CNSMB 1230C/1235CN                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,8                   ,0                   ,0                   ,5         
DLNSW,DMI       ,DELL           ,CBA-990-920-04      ,990DT-920-P2210 + U592K + X111K (CFS)                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,CFFYW               ,FGA LAT LPT E7240 BTS                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,4         
DLNSW,VMI       ,M1100          ,CG3Y1               ,KIT PTR BOOKLET MAKER C7765DN                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7         
DLNSW,DMI       ,DELL           ,CG75Y               ,FGA XPS LPT 9343 BTS                                        ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1                   ,0         
DLNSW,VMI       ,M1010          ,CH883               ,CTRG INK HIYLD BLK 966                                      ,0         ,90                  ,73                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,CH884               ,CTRG INK HIYLD COLOR 966                                    ,0         ,72                  ,0                   ,0                   ,39                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CHH-9020SF-02       ,Optiplex 9020SF SI#116946                                   ,0         ,5                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CHH-990SF-01        ,990SFF SI-116934                                            ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,5         
DLNSW,DMI       ,DELL           ,CHH-AU-E7250-01     ,E7250                                                       ,0         ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CHH-AU-E7450-01     ,E7450                                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,5                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,CHH-NZ-E7250-01     ,E7250                                                       ,0         ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,1                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,CHH-NZ-E7450-01     ,E7450                                                       ,0         ,0                   ,0                   ,0                   ,7                   ,0                   ,2                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,CHHNZ-9020SF-01     ,Optiplex 9020SF SI#116946                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLAKL,DMI       ,DELL           ,CHHNZ-E6430-02      ,Dell Latitude E6430s SI -116941-new processor               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLAKL,DMI       ,DELL           ,CJ4GR               ,KIT PTR INK STD SRS21 BLK AP                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,VMI       ,M1010          ,CJ4GR               , KIT PTR INK STD SRS21 BLK AP                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,120       
DLNSW,DMI       ,DELL           ,CJ651               ,Entry USB Keyboard                                          ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,342       
DLNSW,DMI       ,DELL           ,CJ96W               ,CSN LBL SYS NDBM 7682                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,74        
DLNSW,VMI       ,M1100          ,CJY0W               ,ASSY BASE PTR APCC HV S2815DN                               ,20        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,742       ,64                  ,0                   ,1                   ,3                   ,0                   ,0                   ,0                   ,0                   ,5         
DLNSW,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,1680      ,170                 ,13                  ,10                  ,10                  ,59                  ,32                  ,6                   ,15                  ,1144      
DLQLD,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,44        
DLVIC,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,101       
DLWA ,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,76        ,23                  ,2                   ,2                   ,0                   ,1                   ,0                   ,0                   ,1                   ,263       
MOVED,DMI       ,DELL           ,COMPUTER            ,COMPUTER                                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12        
DLAKL,DMI       ,DELL           ,CR963               ,CUS CTRG DRUM IU 100K U/R B546X                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,DMI       ,DELL           ,CR963               ,CUS CTRG DRUM IU 100K U/R B546X                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,35        
DLNSW,DMI       ,DELL           ,CRN-E6440-01        ,E6440 SI 644604                                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLAKL,DMI       ,DELL           ,CTH86               ,KIT BTRY PWC 43WHR 4C APJ                                   ,0         ,1                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CTH86               ,KIT BTRY PWC 43WHR 4C APJ                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,10        
DLWA ,DMI       ,DELL           ,CTH86               ,KIT BTRY PWC 43WHR 4C APJ                                   ,0         ,0                   ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CTYDR               ,ASSY DVD+/-RW 8X HLDS EXT USB                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,24                  ,17        
DLWA ,DMI       ,DELL           ,CTYDR               ,ASSY DVD+/-RW 8X HLDS EXT USB                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,9         
DLNSW,VMI       ,M1100          ,CVXGF               ,CTRG TONR 1.2K BLK E310/E51X                                ,0         ,0                   ,0                   ,0                   ,0                   ,135                 ,147                 ,5                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,CWYMT               ,FP_U2713H                                                   ,0         ,10                  ,0                   ,20                  ,1                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M00029         ,CWYMT               ,FP_U2713H                                                   ,37        ,149                 ,18                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,CX348               ,LK SCTY CBL SERZ TRG SNP                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12        
DLAKL,DMI       ,DELL           ,CX535               ,CASE CRYG NYL TOP 14 NBK E09                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,31        
DLNSW,DMI       ,DELL           ,D014M               ,ASSY BASE NBK T2410 AUB6 A860                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLAKL,DMI       ,DELL           ,D09RM               ,ADPT 90W DC/DC DLTA AUTO-AIR                                ,0         ,0                   ,0                   ,19                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,D09RM               ,ADPT 90W DC/DC DLTA AUTO-AIR                                ,0         ,0                   ,0                   ,371                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,D21T1               ,ASSY BASE PTR APCC HV C3765DNF                              ,0         ,0                   ,0                   ,0                   ,4                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,D21T1               ,ASSY BASE PTR APCC HV C3765DNF                              ,14        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,D21T1               ,ASSY BASE PTR APCC HV C3765DNF                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,VMI       ,M1010          ,D4283               ,CTRG MEDIA 30K DRUM PHCND 1700                              ,0         ,7                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,D44VH               ,HD 160GB B3465DN/DNF                                        ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLAKL,DMI       ,DELL           ,D524T               ,CTRG TONR 7K U/R 5230DN                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,VMI       ,M1010          ,D524T               ,CTRG TONR 7K U/R 5230DN                                     ,0         ,12                  ,2                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,D593K               ,CUS CTRG DRUM IU 100K U/R B546X                             ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13                  ,0                   ,0         
DLAKL,DMI       ,DELL           ,D59H2               ,DIS FPL 23 P2314H ANZ                                       ,0         ,292                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,D59H2               ,DIS FPL 23 P2314H ANZ                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,VMI       ,M0711          ,D59H2               ,DIS FPL 23 P2314H ANZ                                       ,2244      ,2376                ,2706                ,1051                ,57                  ,0                   ,0                   ,0                   ,0                   ,1         
DLWA ,DMI       ,DELL           ,D59H2               ,DIS FPL 23 P2314H ANZ                                       ,2         ,0                   ,3                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,D955V               ,CSN LBL SYSTEM 6446 8WK7C                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,122       
DLNSW,DMI       ,DELL           ,DG1NH               ,FGA LAT LPT E7250/7250 BTS                                  ,0         ,0                   ,0                   ,0                   ,93                  ,146                 ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,DG4CV               ,CASE CRYG 15 NYL TEK BP                                     ,0         ,62                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1024          ,DG4CV               ,CASE CRYG 15 NYL TEK BP                                     ,0         ,870                 ,0                   ,17                  ,0                   ,1                   ,0                   ,0                   ,0                   ,1         
DLWA ,DMI       ,DELL           ,DG4CV               ,CASE CRYG 15 NYL TEK BP                                     ,8         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,DGRVH               ,SI LK SCTY CODI SCHLU070 RN013                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,VMI       ,M1010          ,DH828               ,CTRG INK STD-YIELD BLK 966                                  ,0         ,0                   ,0                   ,0                   ,0                   ,53                  ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1010          ,DH829               ,CTRG INK STD-YIELD COLOR 966                                ,0         ,0                   ,36                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,DJ458               ,KYBD 104 US KB212B W8 PMX                                   ,0         ,549                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12        
DLNSW,DMI       ,DELL           ,DJ458               ,KYBD 104 US KB212B W8 PMX                                   ,0         ,14                  ,0                   ,821                 ,0                   ,2                   ,19                  ,2                   ,0                   ,38        
DLWA ,DMI       ,DELL           ,DJ458               ,KYBD 104 US KB212B W8 PMX                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,64        
DLAKL,DMI       ,DELL           ,DJMKY               ,CUS CTRG TONR 20K U/R B3465                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,12        
DLNSW,VMI       ,M1010          ,DJMKY               ,CUS CTRG TONR 20K U/R B3465                                 ,0         ,4                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,2                   ,5         
DLAKL,DMI       ,DELL           ,DM254               ,CTRG TONR 2K REGLR 2330                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,5         
DLNSW,DMI       ,DELL           ,DM254               ,CTRG TONR 2K REGLR 2330                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,DM7RT               ,CSN SI LB 4304 MIAS RP 0XDJW                                ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,DMI       ,DELL           ,DN15D               ,FGA OPTI DT 9020 BTS                                        ,0         ,0                   ,0                   ,19                  ,0                   ,15                  ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,DP1HR               ,CSN LBL SYS YELLOW NDBM 3446                                ,0         ,0                   ,0                   ,0                   ,0                   ,937                 ,0                   ,0                   ,0                   ,3         
DLNSW,DMI       ,DELL           ,DPMHY               ,CSN ABC LBL CODE MIAS AU JG009                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLAKL,DMI       ,DELL           ,DPV4T               ,CTRG TONR 2K BLK E525W                                      ,0         ,0                   ,0                   ,18                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,DPV4T               ,CTRG TONR 2K BLK E525W                                      ,0         ,0                   ,0                   ,0                   ,864                 ,0                   ,0                   ,357                 ,0                   ,0         
DLAKL,DMI       ,DELL           ,DRYXV               ,CTRG TONR 2.5K B1260/1265                                   ,9         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,DRYXV               ,CTRG TONR 2.5K B1260/1265                                   ,0         ,0                   ,0                   ,0                   ,1800                ,2000                ,697                 ,0                   ,0                   ,26        
DLWA ,DMI       ,DELL           ,DRYXV               ,CTRG TONR 2.5K B1260/1265                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLAKL,DMI       ,DELL           ,DT615               ,CTRG TONR 2K BLACK 1320C                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,5                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,DT615               ,CTRG TONR 2K BLACK 1320C                                    ,0         ,0                   ,150                 ,0                   ,0                   ,0                   ,72                  ,0                   ,0                   ,3         
DLNSW,VMI       ,M1024          ,DVDRX               ,CASE CRYG RD STAR SLV-XPS                                   ,0         ,99                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,DWGCP               ,CTRG TONR 1K CYAN 1660                                      ,0         ,0                   ,0                   ,17                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,DWGCP               ,CTRG TONR 1K CYAN 1660                                      ,0         ,0                   ,54                  ,21                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,DWP6T               ,CSN 8127 LBL AST SML AU U881N                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,52                  ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,DYWY2               ,CSN LBL AST MONITOR 6446                                    ,0         ,0                   ,0                   ,1000                ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLVIC,DMI       ,DELL           ,EMC0100322          ,EMC Sku for 870345409                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,DMI       ,DELL           ,EMC0100799          ,EMC Sku for 871415239                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLQLD,DMI       ,DELL           ,EMC0100945          ,EMC Sku for 872593605                                       ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLNSW,DMI       ,DELL           ,ETHCBL              ,Ethernet Cable-Kit - 3M  RJ45  CAT6A                        ,0         ,0                   ,0                   ,0                   ,21                  ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,F2MFR               ,CSN QUNITEC LBL AST MIAS NR180                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,VMI       ,M1010          ,F362T               ,CTRG TONR 21K U/R 5230DN                                    ,0         ,50                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,F3VMG               ,SI LBL OR PROSPRT MIAS IT NDBM                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,192       
DLAKL,DMI       ,DELL           ,F479K               ,CTRG TONR 1K YEL 1230C/35CN                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,DMI       ,DELL           ,F479K               ,CTRG TONR 1K YEL 1230C/35CN                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20                  ,0                   ,5         
DLNSW,VMI       ,M1100          ,F528F               ,ASSY FUSER 220V 2130CN                                      ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,17        
DLNSW,DMI       ,DELL           ,F562K               ,CTRG TONR WASTE CNTNR 1230/35                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13        
DLNSW,VMI       ,M1024          ,F5R7M               ,CASE CRYG 7 LAK BL E-FOL                                    ,0         ,249                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,91        
DLNSW,VMI       ,M1100          ,F828K               ,KIT ACC STAPLEPACK XEROX                                    ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,DMI       ,DELL           ,F8D42               ,FGA INSP LPT 5558 BTS                                       ,0         ,0                   ,0                   ,47                  ,0                   ,1                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,F9G3N               ,CTRG TONR 3K SY BLK S281X/H815                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,167                 ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,FC653               ,ASSY BASE PTR LS AUS 5110CN                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLAKL,DMI       ,DELL           ,FDYPN               ,ASSY BASE PTR ANZ 2350D                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLAKL,DMI       ,DELL           ,FF2FG               ,STND DIS TSWVL HSCALE MSA14 R1                              ,0         ,34                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1888          ,FF2FG               ,STND DIS TSWVL HSCALE MSA14 R1                              ,0         ,84                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,FF2FG               ,STND DIS TSWVL HSCALE MSA14 R1                              ,0         ,0                   ,0                   ,0                   ,1                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,FFMD3               ,KIT APR II E-SRS 130 LAT AUS                                ,399       ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,2         
DLNSW,DMI       ,DELL           ,FFMD3               ,KIT APR II E-SRS 130 LAT AUS                                ,1012      ,0                   ,135                 ,8                   ,1                   ,0                   ,0                   ,0                   ,0                   ,55        
DLNSW,DMI       ,DELL           ,FFX24               ,KIT SW OFCPRO-2013 MPI ASIA                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,52        
DLWA ,DMI       ,DELL           ,FFX24               ,KIT SW OFCPRO-2013 MPI ASIA                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,VMI       ,M1015          ,FH240               ,KIT SPKR 240V ZLX A215 MG ANZ                               ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3         
DLNSW,DMI       ,DELL           ,FJ2JH               ,CSN LBL 4746 NPRSR NDBM  X7NV8                              ,0         ,0                   ,100                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,466       
DLAKL,DMI       ,DELL           ,FJWCN               ,DIS FPL 23 S2316HC ANZ                                      ,20        ,10                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M0966          ,FJWCN               ,DIS FPL 23 S2316HC ANZ                                      ,0         ,155                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,FKC1M               ,CASE CRYG SLIM 14 ANW SNP                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13        
